[ 2026-05-26 08:36:17,868 ] Using spritesheet cache size of 910
[ 2026-06-22 14:06:15,953 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 14:21:19,933 ] Retrying to obtain clipboard.
[ 2026-06-22 14:55:22,587 ] Retrying to obtain clipboard.
[ 2026-06-22 14:57:04,278 ] Retrying to obtain clipboard.
[ 2026-06-22 14:57:04,330 ] Retrying to obtain clipboard.
[ 2026-06-22 14:57:04,380 ] Unable to obtain clipboard.
[ 2026-06-22 15:03:32,112 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 15:03:32,125 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 15:03:32,202 ] Disconnected from gameserver
[ 2026-06-22 15:06:48,368 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 15:06:48,370 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:06:52,463 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 15:06:53,473 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:06:57,563 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 15:06:57,573 ] Disconnected from gameserver
[ 2026-06-22 15:06:58,869 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 15:06:58,872 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:07:02,963 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 15:07:03,963 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:07:08,062 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 15:07:08,067 ] Disconnected from gameserver
[ 2026-06-22 15:07:09,303 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 15:07:09,304 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:07:13,412 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 15:07:14,412 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:07:18,398 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:11:37,662 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 15:11:37,730 ] Disconnected from gameserver
[ 2026-06-22 15:43:12,180 ] Using spritesheet cache size of 910
[ 2026-06-22 15:43:12,233 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 15:43:12,243 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 15:43:13,408 ] Asset loading complete
[ 2026-06-22 15:43:13,508 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 15:43:14,274 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x2927e890430), parent's thread is QThread(0x29256c466f0), current thread is QSGRenderThread(0x2927e72fed0)
[ 2026-06-22 15:44:03,887 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 15:44:03,889 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:44:03,912 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:44:04,177 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204870 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216943 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216962 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204871 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204872 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204873 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204874 found"
[ 2026-06-22 15:44:04,178 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204929 found"
[ 2026-06-22 15:44:04,179 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204930 found"
[ 2026-06-22 15:44:04,179 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204974 found"
[ 2026-06-22 15:44:04,179 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204977 found"
[ 2026-06-22 15:46:23,060 ] Using spritesheet cache size of 910
[ 2026-06-22 15:46:23,110 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 15:46:23,119 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 15:46:23,928 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 15:46:24,475 ] Asset loading complete
[ 2026-06-22 15:46:24,864 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x24c052a2e60), parent's thread is QThread(0x24c7d72b4c0), current thread is QSGRenderThread(0x24c05c9b630)
[ 2026-06-22 15:46:31,733 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 15:46:31,738 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:46:31,759 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204870 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216943 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216962 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204871 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204872 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204874 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204929 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204930 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204873 found"
[ 2026-06-22 15:46:31,960 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204974 found"
[ 2026-06-22 15:46:31,961 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204977 found"
[ 2026-06-22 15:46:40,926 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 15:46:40,975 ] Disconnected from gameserver
[ 2026-06-22 15:58:43,166 ] Using spritesheet cache size of 910
[ 2026-06-22 15:58:43,215 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 15:58:43,223 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 15:58:44,021 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 15:58:44,539 ] Asset loading complete
[ 2026-06-22 15:58:44,895 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1e6dac384d0), parent's thread is QThread(0x1e6b9c14940), current thread is QSGRenderThread(0x1e6c20a9cb0)
[ 2026-06-22 15:58:48,300 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 15:58:48,303 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:58:48,322 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204870 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216943 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216962 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204871 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204872 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204874 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204929 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204930 found"
[ 2026-06-22 15:58:48,526 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204873 found"
[ 2026-06-22 15:58:48,527 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204974 found"
[ 2026-06-22 15:58:48,527 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204977 found"
[ 2026-06-22 16:00:46,769 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 16:00:46,828 ] Disconnected from gameserver
[ 2026-06-22 16:02:40,569 ] Using spritesheet cache size of 910
[ 2026-06-22 16:02:40,620 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 16:02:40,631 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 16:02:41,528 ] Asset loading complete
[ 2026-06-22 16:02:41,663 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 16:02:42,301 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x28c65663cb0), parent's thread is QThread(0x28c5e09c250), current thread is QSGRenderThread(0x28c66826040)
[ 2026-06-22 16:03:04,840 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 16:03:04,846 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 16:03:08,980 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 16:03:10,039 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 16:03:14,129 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 16:03:14,140 ] Disconnected from gameserver
[ 2026-06-22 16:03:15,353 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 16:03:15,354 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 16:03:15,363 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 16:03:15,590 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204870 found"
[ 2026-06-22 16:03:15,590 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216943 found"
[ 2026-06-22 16:03:15,590 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216962 found"
[ 2026-06-22 16:03:15,590 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204871 found"
[ 2026-06-22 16:03:15,590 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204872 found"
[ 2026-06-22 16:03:15,590 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204873 found"
[ 2026-06-22 16:03:15,591 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204874 found"
[ 2026-06-22 16:03:15,591 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204929 found"
[ 2026-06-22 16:03:15,592 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204930 found"
[ 2026-06-22 16:03:15,592 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204974 found"
[ 2026-06-22 16:03:15,592 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204977 found"
[ 2026-06-22 16:03:40,181 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 16:03:40,252 ] Disconnected from gameserver
